Sr_No,Date,Startup_Name,IndustryVertical,SubVertical,City,Investors Name,Investment_Type,Amount_in_USD,Remarks
1,09-01-2020,BYJU'S,Ed-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,
2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity LLC,Series C,8048394,
3,09-01-2020,MamaEarth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia India,Series B,18358860,
4,02-01-2020,wealthbucket.in,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,
5,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,
6,13-01-2020,Pando,Logistics Services Provider,Open-market & freight management platform,Chennai,Chiratae Ventures,Series A,9000000,
7,10-01-2020,Zomato,On-demand delivery platform,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000,
8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,
9,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,
10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels Network, Ravikanth Reddy",Seed Round,50000000,
11,13-12-2019,Rivigo,Logistics Services Provider,Logistics Services Provider,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,
12,17-12-2019,Healthians,Health and Wellness,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners , Neoplux",Series C,12000000,
13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,
14,16-12-2019,InCred Finance,Financial Services,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000,
15,14-12-2019,Trell,Media & Entertainment,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,
16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,
17,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,
18,13-11-2019,Freshworks,Technology,Business and customer engagement tools,San Francisco,"Sequoia India, CapitalG, Accel",Series H,150000000,
19,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000,
20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Ed-Tech,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture , GlobalLogic co-founder Rajul Garg",Seed Round,1500000,
21,17-11-2019,Burger King,Food & Beverages,Indian Burger Brand,Gurgaon,RB Investments,Venture Round,,
22,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000,
23,15-11-2019,Ninjacart,Logistics Services Provider,Agritech,Bengaluru,Trifecta Capital,Debt Funding,26000000,
24,20-11-2019,Aye Finance,Financial Services,Financial Services To MSMEs,Gurgaon,Financial Tech,Debt Funding,17411265,
25,12-11-2019,SuperGaming,Gaming,Social gaming platform,Pune,Dream Incubator,Seed Round,1300000,
26,20-11-2019,Clumio,Technology,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,
27,11-11-2019,eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Round,300000,
28,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Round,220000000,
29,18-11-2019,Medikabazaar,Health and Wellness,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,
30,15-11-2019,Vogo Automotive Pvt. Ltd.,Transportation,Scooter sharing app,Kormangala,"Matrix Partners India, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,
31,19-11-2019,Furtados School of Music,Ed-Tech,Music Education,Telangana,"IAN Fund , DSG Consumer Partners",,200000000,
32,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,
33,04-10-2019,Dunzo,Consumer Services,Delivery Service,Bengaluru,Lightbox,Series D,45000000,
34,02-10-2019,Udaan,E-Commerce,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,
35,21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,,
36,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,
37,04-09-2019,Cashflo,Financial Services,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,
38,04-09-2019,Digital F5,Advertising & Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,
39,04-09-2019,3rdFlix,Information Technology,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-series A,5000000,
40,04-09-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,
41,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed Round,1000000,
